y0_true,y1_true,y0_pred,y1_pred,g_fuzzy_oracle,g_fuzzy_pred,dg_oracle,dg_pred,g_oracle,g_pred,dg_abs_err,g_abs_err
39.85119,49.35211,43.172424,49.4801,86.02560487255947,77.33880547644173,20.0,20.0,65.0,65.0,0.0,0.0
42.158916,49.720177,41.16195,48.750183,79.83992558294072,82.53078258435478,14.839925582940722,17.53078258435478,79.83992558294072,82.53078258435478,2.6908570014140594,2.6908570014140594
44.925636,50.22464,41.339787,52.50604,73.50288635387983,82.03188905155528,-6.337039229060892,-0.49889353279949944,73.50288635387983,82.03188905155528,5.8381456962613925,8.529002697675452
46.702553,54.417408,43.271355,51.9532,70.0595413406528,77.10560070572929,-3.443345013227031,-4.926288345825995,70.0595413406528,77.10560070572929,1.482943332598964,7.046059365076488
42.574432,58.36252,44.225456,54.417473,78.51674687791447,74.96323437782482,8.457205537261672,-2.142366327904469,78.51674687791447,74.96323437782482,10.59957186516614,3.553512500089653
38.60307,57.280735,39.65951,57.15905,85.91078927010699,85.91743958416882,7.394042392192517,10.954205206344,85.91078927010699,85.91743958416882,3.5601628141514823,0.0066503140618294765
37.862637,56.586884,36.52449,56.51274,85.94797811579225,85.951862649471,0.03718884568526448,0.0344230653021782,85.94797811579225,85.951862649471,0.0027657803830862804,0.003884533678743196
33.84347,54.1407,36.00929,54.877525,86.02560487255947,86.02560487255947,0.07762675676721642,0.07374222308847322,86.02560487255947,86.02560487255947,0.003884533678743196,0.0
34.584637,51.734806,33.53651,56.196,86.02560487255947,85.96811223042005,0.0,-0.0574926421394224,86.02560487255947,85.96811223042005,0.0574926421394224,0.0574926421394224
31.819437,44.96921,35.886642,53.71693,85.96592381790562,86.02560487255947,-0.05968105465385065,0.0574926421394224,85.96592381790562,86.02560487255947,0.11717369679327305,0.05968105465385065
35.69623,47.594166,35.09199,49.261402,86.02560487255947,86.02560487255947,0.05968105465385065,0.0,86.02560487255947,86.02560487255947,0.05968105465385065,0.0
38.55303,50.223614,37.233383,48.01441,86.02560487255947,86.02560487255947,0.0,0.0,86.02560487255947,86.02560487255947,0.0,0.0
38.193554,51.23649,39.326103,48.16906,86.02560487255947,86.02560487255947,0.0,0.0,86.02560487255947,86.02560487255947,0.0,0.0
35.88289,48.03726,37.26634,47.931152,86.02560487255947,86.02560487255947,0.0,0.0,86.02560487255947,86.02560487255947,0.0,0.0
34.260258,48.400864,34.909477,47.32263,86.02560487255947,86.02560487255947,0.0,0.0,86.02560487255947,86.02560487255947,0.0,0.0
31.992325,49.366497,35.51722,46.669838,86.02560487255947,86.02560487255947,0.0,0.0,86.02560487255947,86.02560487255947,0.0,0.0
37.91672,48.620903,35.4168,48.923214,86.02560487255947,86.02560487255947,0.0,0.0,86.02560487255947,86.02560487255947,0.0,0.0
38.27668,51.920723,38.96142,50.344223,86.02560487255947,86.02560487255947,0.0,0.0,86.02560487255947,86.02560487255947,0.0,0.0
37.799942,57.829533,38.051136,52.526806,85.88008415381246,86.02560487255947,-0.145520718747008,0.0,85.88008415381246,86.02560487255947,0.145520718747008,0.145520718747008
43.360317,53.90877,36.86228,57.37095,76.89750525161861,85.90581548520493,-8.98257890219385,-0.11978938735454392,76.89750525161861,85.90581548520493,8.862789514839307,9.008310233586315
41.295113,53.644783,40.42022,55.990356,82.1563351176241,84.65934739686625,5.258829866005485,-1.2464680883386734,82.1563351176241,84.65934739686625,6.505297954344158,2.5030122792421565
42.805943,54.168804,40.72317,54.54419,78.21888293212535,83.80035400285999,-3.937452185498742,-0.8589933940062622,78.21888293212535,83.80035400285999,3.07845879149248,5.581471070734636
44.082455,56.78174,41.135273,54.40439,75.27205048928933,82.60629835868929,-2.946832442836026,-1.194055644170703,75.27205048928933,82.60629835868929,1.752776798665323,7.3342478693999595
40.814945,55.481007,43.356167,57.61958,83.53007659705044,76.90717257582628,8.258026107761111,-5.699125782863007,83.53007659705044,76.90717257582628,13.957151890624118,6.6229040212241586
41.377117,52.800884,41.81431,55.764557,81.92821446914103,80.74187010170208,-1.6018621279094134,3.8346975258757965,81.92821446914103,80.74187010170208,5.43655965378521,1.1863443674389487
42.070446,54.05431,41.37662,52.57127,80.06877398132525,81.92958592402682,-1.8594404878157746,1.1877158223247477,80.06877398132525,81.92958592402682,3.0471563101405224,1.8608119427015737
43.675503,53.196106,41.03189,52.371517,76.1735379734842,82.90120575910203,-3.8952360078410493,0.9716198350752023,76.1735379734842,82.90120575910203,4.866855842916252,6.727667785617825
46.262432,49.926125,44.130657,49.851807,70.88883455221881,75.16746824705612,-5.284703421265391,-7.733737512045906,70.88883455221881,75.16746824705612,2.449034090780515,4.2786336948373105
40.27941,46.833923,46.872494,47.24095,85.14504489094729,69.74177270934771,14.25621033872848,-5.425695537708407,85.14504489094729,69.74177270934771,19.681905876436886,15.403272181599576
