gen,idx,fitness,val_scaled_mse,y0_r2,y1_r2,avg_r2,train_time_s,lookback,target_smooth_window,freq_minutes,batch_size,lr,weight_decay,grad_clip,hidden_size,num_layers,dropout,fc_size
0,0,1.0885561319986978,1.0885561319986978,0.3987466391756095,0.5120218650622619,0.4553842521189357,2.616933584213257,144,3,5,256,0.0002548306440415268,0.0,1.4729424283280248,32,2,0.015891339740891797,32
0,1,0.80318896484375,0.80318896484375,0.5930289819248704,0.6048897408788243,0.5989593614018474,1.6719262599945068,36,3,5,256,0.0001966560537670851,4.313446758128072e-05,0.4408812440813934,128,1,0.37940368356488363,32
0,2,0.6037476034126231,0.6037476034126231,0.6682453974046513,0.6969294571839428,0.6825874272942971,2.9000277519226074,144,6,5,128,0.00016969227567105897,1.0227833166821112e-05,0.18549168676029582,32,2,0.4237471831737299,128
0,3,0.8740674438476562,0.8740674438476562,0.5480698698300669,0.578671875644859,0.5633708727374629,2.2592339515686035,72,3,5,256,0.00015289151295721191,1.7234575632757804e-06,0.5863565628141858,128,1,0.35228591810746174,32
0,4,0.7499637145996094,0.7499637145996094,0.6221813949521986,0.6289848425069255,0.6255831187295621,3.5256428718566895,144,3,5,64,0.0018340365453406995,1.3815883902560115e-05,0.906820604736871,128,1,0.18509048355844132,32
0,5,0.4854334689905551,0.4854334689905551,0.7402233900451787,0.7501143116486166,0.7451688508468977,3.5564608573913574,144,6,5,256,0.0008668419606834459,5.4254126473815405e-06,0.9245204237022315,128,1,0.3423071254949373,32
0,6,0.7162350667317708,0.7162350667317708,0.6420068233847925,0.6429613878159203,0.6424841056003564,3.2237277030944824,36,3,5,128,0.000248591193064453,0.0,1.8858194286701089,128,1,0.32771933264744,64
0,7,0.4813858154459853,0.4813858154459853,0.7441592675321127,0.750620855522241,0.7473900615271769,14.343141317367554,144,6,5,128,0.0001607869928374808,4.139347327126983e-05,1.4940276233045158,256,2,0.18099822185680547,32
0,8,0.49990049446218005,0.49990049446218005,0.728972345979413,0.745794078476286,0.7373832122278494,4.982364177703857,144,6,5,64,0.0018704814707313866,0.0,0.3199640034449005,256,1,0.19238365583725003,128
0,9,0.3051734557126295,0.3051734557126295,0.8133132195341658,0.8429586265370985,0.8281359230356322,2.797517776489258,72,12,5,256,0.001868426394677217,0.0,1.4414436387203893,128,2,0.05577608679793822,64
0,10,0.508543271725582,0.508543271725582,0.730743264483527,0.7356455685618275,0.7331944165226773,2.360159397125244,36,6,5,256,0.001966713026065412,0.0,1.0011722261005966,64,1,0.43525928491838345,64
0,11,0.3682245468710833,0.3682245468710833,0.7699357224195826,0.8147764812321598,0.7923561018258712,7.326404571533203,144,12,5,64,0.0003567106690649258,0.0,1.9069994953070055,32,2,0.24430285401447394,32
0,12,0.5568276724923596,0.5568276724923596,0.7129590379789654,0.703612645563608,0.7082858417712867,6.746247053146362,72,6,5,64,0.00022688017519513644,1.7229439319869302e-06,1.4638151896892555,32,1,0.0641957322498814,64
0,13,0.7505054524739583,0.7505054524739583,0.6253416696038339,0.6254340475731994,0.6253878585885166,2.846848726272583,144,3,5,256,0.001943969238353244,4.3191134950628645e-06,1.0785921775589167,64,2,0.19949614999871457,128
0,14,0.5719485722173836,0.5719485722173836,0.6988208323366483,0.7012167832908693,0.7000188078137588,2.8731014728546143,144,6,5,256,0.00046440808904566134,0.0,0.12805179265268984,32,1,0.2942200572051755,32
0,15,0.3817541382529519,0.3817541382529519,0.7623366683834099,0.8072131768258348,0.7847749226046223,5.660431146621704,36,12,5,64,0.0001257646125588466,0.0,0.6608569781609974,64,2,0.3344888891481403,32
0,16,0.7506234741210938,0.7506234741210938,0.6349773587560568,0.616105190683286,0.6255412747196714,6.617070913314819,144,3,5,64,0.0014420423949072106,3.7258875470092987e-06,0.19386162845764665,256,2,0.2117893115099604,64
0,17,0.7069200998942057,0.7069200998942057,0.6487611208681967,0.6455983175798069,0.6471797192240019,5.743753910064697,144,3,5,64,0.000393296836715776,0.0003846073761565384,0.49731266784057127,64,2,0.07009114854738724,32
0,18,0.5457583836146763,0.5457583836146763,0.7181567234381638,0.7099577020345067,0.7140572127363353,4.750119686126709,72,6,5,64,0.00045139614118498705,4.476884987258068e-05,0.10117665904976247,32,1,0.4631834915040638,32
0,19,0.48640882952986797,0.48640882952986797,0.7413486086428934,0.7481444118253042,0.7447465102340989,4.926334381103516,36,6,5,128,0.0002068857979632027,1.4993609645381065e-06,0.7579462379538322,256,2,0.4632590367796667,64
0,20,0.5321274949648034,0.5321274949648034,0.7059892962558819,0.7343168707197504,0.7201530834878161,4.850814342498779,72,6,5,64,0.00019076652820351235,0.0,0.1169665840145988,32,2,0.02858263645374154,128
0,21,0.3408285921270197,0.3408285921270197,0.7862863818277734,0.829236750289127,0.8077615660584503,2.1512436866760254,72,12,5,64,0.002625348363594733,0.0,0.3716499219614464,32,1,0.20188777565913874,128
0,22,0.349760840920841,0.349760840920841,0.7797079434675048,0.825628613465109,0.8026682784663068,3.8271291255950928,36,12,5,256,0.00013215981766219066,4.9622743503278753e-05,0.6327396919534543,128,1,0.3348629873849146,64
0,23,0.5208191534228255,0.5208191534228255,0.7255336486513597,0.728114699125296,0.7268241738883279,3.843668222427368,36,6,5,64,0.0009821275752447609,0.0,0.6323543925437081,32,1,0.22914276130929306,128
0,24,0.7628699137369792,0.7628699137369792,0.6213943856016898,0.6171354401632467,0.6192649128824683,2.1157259941101074,36,3,5,256,0.00024645246675540655,0.00043912940675686665,1.7585404849690855,128,2,0.07887341617861598,128
1,0,0.3217858605206331,0.3217858605206331,0.7941150819021912,0.8424251143309397,0.8182700981165654,2.2128238677978516,72,12,5,256,0.001868426394677217,0.0,1.4414436387203893,128,2,0.05577608679793822,64
1,1,0.3341885722257237,0.3341885722257237,0.792273180951664,0.8309462435248587,0.8116097122382613,4.169997215270996,72,12,5,64,0.002625348363594733,0.0,0.3716499219614464,32,1,0.20188777565913874,128
1,2,0.5401331413890396,0.5401331413890396,0.7069723357267756,0.7255022309718857,0.7162372833493307,3.1179845333099365,36,6,5,256,0.001966713026065412,0.0,1.0011722261005966,64,1,0.05577608679793822,64
1,3,0.5865915754290225,0.5865915754290225,0.6865914425507214,0.6975938537280524,0.6920926481393869,4.392888069152832,144,6,5,64,0.002625348363594733,0.0,0.3716499219614464,32,1,0.03762193003688352,128
1,4,0.5117010567312407,0.5117010567312407,0.7263482261996219,0.7364306137885377,0.7313894199940798,5.99334979057312,72,6,5,64,0.00019076652820351235,0.0,0.1169665840145988,32,2,0.02858263645374154,128
1,5,0.3904575740589815,0.3904575740589815,0.7507127656479108,0.8083225781357123,0.7795176718918115,8.917622566223145,72,12,5,64,0.0001257646125588466,0.0,0.6608569781609974,64,2,0.3344888891481403,32
1,6,0.3132864778692072,0.3132864778692072,0.8062642221874585,0.840634037554973,0.8234491298712158,3.51335072517395,72,12,5,64,0.002625348363594733,5.4254126473815405e-06,0.9245204237022315,128,1,0.3423071254949373,32
1,7,0.3173810377477962,0.3173810377477962,0.8115452199253586,0.8316205098193308,0.8215828648723447,2.7297728061676025,72,12,5,256,0.001868426394677217,0.0,1.4414436387203893,128,2,0.05577608679793822,32
1,8,0.35247130572477126,0.35247130572477126,0.7785144178512526,0.8238217318828335,0.8011680748670431,3.165520429611206,72,12,5,256,0.000393296836715776,0.0003846073761565384,0.49731266784057127,64,2,0.07009114854738724,32
1,9,0.3278385534643489,0.3278385534643489,0.790528797425923,0.8392071512471884,0.8148679743365557,5.586199998855591,36,12,5,64,0.0001257646125588466,0.0,0.6608569781609974,128,1,0.3423071254949373,32
1,10,0.48915357296871087,0.48915357296871087,0.7404283159447222,0.746242729268424,0.7433355226065732,13.951633930206299,144,6,5,128,0.0001607869928374808,4.139347327126983e-05,1.4940276233045158,256,2,0.4919680113909257,32
1,11,0.40124986005976876,0.40124986005976876,0.7471331329179574,0.8000878132276938,0.7736104730728256,2.6031486988067627,36,12,5,256,0.00022688017519513644,1.7229439319869302e-06,1.4638151896892555,32,1,0.0641957322498814,64
1,12,0.5697147486525002,0.5697147486525002,0.6892143551622517,0.7119922151699924,0.7006032851661221,3.8530259132385254,144,6,5,64,0.002625348363594733,0.0,0.3716499219614464,32,1,0.20188777565913874,128
1,13,0.6813377207207266,0.6813377207207266,0.62401478282818,0.6594022963119321,0.6417085395700561,3.7929534912109375,144,6,5,128,0.0001607869928374808,0.0,0.12805179265268984,32,1,0.2942200572051755,32
